Title,author
The Great Zoo of China,Matthew Reilly
The Bees: A Novel,Laline Paull
The Days of Noah: Book Two: Persecution (Volume 2),Mark Goodwin
On Such a Full Sea: A Novel,Chang-rae Lee
The Age of Miracles: A Novel,Karen Thompson Walker
EMP: Equipping Modern Patriots: A Story of Survival (Volume 1),Jonathan Hollerman
A Cure for Suicide: A Novel,Jesse Ball
"Alas, Babylon: A Novel (Harper Perennial Olive Edition)",Pat Frank
The Line of Departure: A Postapocalyptic Novel (The New World Series),G. Michael Hopf
The End: A Postapocalyptic Novel (The New World Series),G. Michael Hopf
"The Last Layover: The New Homefront, Volume 1",Steven C Bird
California: A Novel,Edan Lepucki
Lazarus Volume 4 (Lazarus Tp),Greg Rucka
Battle Royale: Remastered (Battle Royale (Novel)),Koushun Takami
Outland Exile: Book 1 of Old Men and Infidels,W. Clark Boutwell
Lazarus Volume 1 TP,Greg Rucka
EMP: Equipping Modern Patriots: The Aftermath (Volume 2),Jonathan Hollerman
"Slow Burn: Grind, Book 8 (Slow Burn Zombie Apocalypse Series) (Volume 8)",Bobby Adair
The Last Policeman: A Novel (The Last Policeman Trilogy),Ben Winters
Written in Fire (The Brilliance Trilogy),Marcus Sakey
"The Guardians: The New Homefront, Volume 2",Steven C. Bird
Countdown City: The Last Policeman Book II (The Last Policeman Trilogy),Ben Winters
The Choosing (A Seer Novel),Rachelle Dekker
"Attack on Titan: The Harsh Mistress of the City, Part 1",Ryo Kawakami
A Time To Speak (Out Of Time Series Book 2),Nadine Brandes
Rules for Werewolves,Kirk Lynn
"Feed (Newsflesh, Book 1)",Mira Grant
Devil's Vortex (Deathlands),James Axler
The Three: A Novel,Sarah Lotz
"The Blue Ridge Resistance: The New Homefront, Volume 3",Steven C. Bird
World of Trouble: The Last Policeman Book III (The Last Policeman Trilogy),Ben Winters
The Newsflesh Trilogy (Boxed Set),Mira Grant
299 Days: The War (Volume 8),Glen Tate
Into the River Lands (Darkness After Series) (Volume 2),Scott B. Williams
Child of Slaughter (Deathlands),James Axler
299 Days: The 43 Colonels (Volume 10),Glen Tate
Nemesis: Inception,G. Michael Hopf
Into the Forest: A Novel,Jean Hegland
Into Jackson: Everything In Between,Jaxon M King
What We Salvage,David Baillie
Embers (Abiassa's Fire Series Book 1),Ronie Kendig
J: A Novel,Howard Jacobson
Battle Royale: The Novel,Koushun Takami
"The Resolution: The New Homefront, Volume 4",Steven C Bird
2001: a Space Odyssey,Arthur C. Clarke
Rendezvous with Rama,Arthur C. Clarke
2010: Odyssey Two,Arthur C. Clarke
3001: The Final Odyssey,Arthur C. Clarke
The Extraordinary Journeys: Twenty Thousand Leagues Under the Sea (Oxford World's Classics),Jules Verne
"20,000 Leagues Under the Sea",Jules Verne
Les secrets des cordes: Chroniques de l'essor galactique (French Edition),M. Agop Gurunlian
The Engines of God,Jack McDevitt
Beyond the Blue Event Horizon (Heechee),Frederik Pohl
The Mars Project,Wernher Von Braun
Starbase Human: A Retrieval Artist Universe Novel: Book Seven of the Anniversary Day Saga (Volume 14),Kristine Kathryn Rusch
Legacy: An Event Group Thriller (Event Group Thrillers),David L. Golemon
The Voyage of the Space Beagle,A. E. van Vogt
Mars,Ben Bova
Earthbound (Marsbound),Joe Haldeman
Henry Gallant and the Warrior (The Henry Gallant Saga) (Volume 3),H. Peter Alesso
Far Orbit Apogee (Far Orbit Anthology Series) (Volume 2),Bascomb James
Parallel Extinction,T.R Stevens
Moon Wreck: The Slaver Wars Book One,Raymond L. Weil
Exile (Star Force Series) (Volume 11),B. V. Larson
Starshine: Aurora Rising: Book One (Volume 1),G. S. Jennsen
Exodus: Machine War: Book 1: Supernova (Volume 1),Doug Dandridge
Resonance (Recovery) (Volume 2),S. Alex Martin
The Daedalus Incident,Michael J Martinez
Rescue Mode,Ben Bova
Exodus: Tales of the Empire: Exploration Command (Volume 1),Doug Dandridge
Solarversia: The Year Long Game,Mr Toby Downton
The Interstellar Age: The Complete Trilogy,Valmore Daniels
Ole Doc Methuselah,L. Ron Hubbard
Europa Journal,Jack Castle
Quantum Tangle (Targon Tales - Sethran) (Volume 1),Chris Reher
The Galaxy Game,Karen Lord
Starship's Mage: Omnibus,Glynn Stewart
"The Sphinx of the Ice Realm: The First Complete English Translation, with the Full Text of The Narrative of Arthur Gordon Pym by Edgar Allan Poe",Jules Verne
The Ghost from the Grand Banks and the Deep Range,Arthur C. Clarke
The Martian Conspiracy,John Read
The Explorer (The Anomaly Quartet),James Smythe
Children of Mars,Paul G Day
Frontier: Curiosity Part I,Carl Albright
Delphi Promised (Targon Tales) (Volume 4),Chris Reher
KANDIDE THE Lady's Revenge: Book Two (The Calabiyau Chronicles) (Volume 2),Ms Diana S. Zimmerman
Mars Quake,Jon Batson
Icehenge,Kim Stanley Robinson
"Mars, Inc.: The Billionaire's Club",Ben Bova
Ringworld's Children,Larry Niven
Warden,Gregg Vann
Tactics of Conquest (Stellar Conquest) (Volume 3),David VanDyke
Contact with Chaos (Freehold Series),Michael Z. Williamson
The Celaran Ruins (Parker Interstellar Travels) (Volume 6),Michael McCloskey
Wings of Retribution (Millennium Potion),Sara King
The Trilisk Revolution (Parker Interstellar Travels) (Volume 5),Michael McCloskey
"20,000 Leagues Under the Sea (Enriched Classics)",Jules Verne
Coyote: A Novel of Interstellar Exploration,Allen Steele
Destiny: Quest for a New World (Volume 1),Donald M Edwards
Leviathans of Jupiter (The Grand Tour),Ben Bova
The Blink Act I: Incarnation,Tomer Agmon
Galaxy Blues,Allen Steele
Twenty Trillion Leagues Under the Sea,Adam Roberts
Before Dishonor (Star Trek: The Next Generation),Peter David
Fleet of Worlds (Known Space),Larry Niven
Voyage,Stephen Baxter
Transcendence: Aurora Rising Book Three (Volume 3),G. S. Jennsen
The Terran Gambit (Episode #1 of The PAX HUMANA Saga),Endi Webb
Starfire,B. V. Larson
The Ghost from the Grand Banks,Arthur C. Clarke
Search for the Saiph (The Saiph Series) (Volume 2),PP Corcoran
Futures: 50 Years in Space,David A. Hardy
A First Love Never Dies (The Spi-Corp Series) (Volume 1),Margaret Taylor
Tom Swift and His Martian TerraVironment (Tom Swift Invention Series) (Volume 9),Victor Appleton II
Conquistador,S. M. Stirling
Europa,J.A. Sanderlin
Captain Nemo,Kevin J. Anderson
"Navigator: Time's Tapestry, Book Three",Stephen Baxter
The Space Tourist's Handbook,Eric C. Anderson
Earth not Forgotten (Adrift on a Sea of Stars) (Volume 2),John Stilwell
Butterscotch Dawn,Gerald W. Driggers
Burnt Worlds,S. J. Madill
"Dawn (Xenogenesis, Bk. 1)",Octavia E. Butler
Eve: The Awakening,Jenna Moreci
Accelerando (Singularity),Charles Stross
Scrapyard Ship,Mark Wayne McGinnis
Fluency,Jennifer Foehner Wells
Childhood's End (Syfy TV Tie-in),Arthur C. Clarke
Dead Wrong (The Rho Agenda Inception),Richard Phillips
Dead Shift (The Rho Agenda Inception),Richard Phillips
Star Trek: The Original Series: Foul Deeds Will Rise,Greg Cox
Pen,Peter Logan
Once Dead (The Rho Agenda Inception),Richard Phillips
"The End of Liberty (War Eternal, Book Two) (Volume 2)",M.R. Forbes
Starscape: Andromedan Dark: Book One,Ian Douglas
Eifelheim,Michael Flynn
Unidentified,Mikel J. Wisler
Galactic Empire Wars: The Alliance (The Galactic Empire Wars) (Volume 4),Raymond L. Weil
Contact (Alien Invasion) (Volume 2),Sean Platt
Alliance: A Linesman Novel,S. K. Dunstall
The War of the Worlds,H. G. Wells
Baltic Gambit: A Novel of the Vampire Earth,E.E. Knight
Galactic Empire Wars: Destruction (Volume 1),Raymond L. Weil
The Lost Fleet: Into the Darkness: A Slaver Wars Novel (Volume 2),Raymond L. Weil
Admiral (An Evagardian Novel),Sean Danker
Decision at Doona,Anne McCaffrey
Atlantos (The Early Erthe Chronicles ) (Volume 1),Robin Maxwell
"Path of Destruction (Star Wars: Darth Bane, Book 1)",Drew Karpyshyn
Shadows of the Gods: Crimson Worlds Refugees II (Volume 2),Jay Allan
William Shakespeare's The Empire Striketh Back (William Shakespeare's Star Wars),Ian Doescher
Forward the Foundation,Isaac Asimov
A Small Colonial War (Ark Royal) (Volume 6),Mr Christopher G Nuttall
Specter of the Past (Star Wars: The Hand of Thrawn #1),Timothy Zahn
Pebble in the Sky,Isaac Asimov
The Prisoner of Eldaron: Crimson Worlds Successors II (Volume 2),Jay Allan
"Champions of the Force (Star Wars: The Jedi Academy Trilogy, Vol. 3)",Kevin J. Anderson
"I, Jedi (Star Wars)",Michael A. Stackpole
Starfighters of Adumar (Star Wars: X-Wing #9),Aaron Allston
Darksaber (Star Wars),Kevin J. Anderson
"The Stars, Like Dust",Isaac Asimov
Planet of Twilight (Star Wars),Barbara Hambly
Into the Darkness (Crimson Worlds Refugees) (Volume 1),Jay Allan
Gideon Smith and the Mechanical Girl,David Barnett
The Search for Gram (Codex Regius) (Volume 1),Chris Kennedy
Children of the Jedi (Star Wars),Barbara Hambly
Starship Blackbeard (Volume 1),Michael Wallace
The Crystal Star (Star Wars),Vonda McIntyre
"Assault at Selonia (Star Wars: The Corellian Trilogy, Book 2)",Roger Macbride Allen
Artemis Invaded (Artemis Awakening Series),Jane Lindskold
Human Empire (The Human Legion) (Volume 4),Tim C. Taylor
Resurrection (The Alien Documentaries) (Volume 1),P.D. Kalnay
"The Art of Star Wars, Episode V - The Empire Strikes Back",Deborah Call
Galactic Empire Wars: Emergence (Volume 2),Raymond L. Weil
Invasion (Alien Invasion) (Volume 1),Sean Platt
Dark Space (Book 4): Revenge,Jasper T. Scott
Lords of Space (Starship Blackbeard) (Volume 2),Michael Wallace
Once Upon a Galaxy: A Journal of the Making of The Empire Strikes Back,Alan Arnold
The Fall  (Crimson Worlds) (Volume 9),Jay Allan
Zero Recall (The Legend of ZERO),Sara King
The Slaver Wars: Galactic Conflict (Volume 6),Raymond L. Weil
Dark Space (Book 3): Origin,Jasper T. Scott
The Slaver Wars: Retaliation (Volume 5),Raymond L. Weil
Indigo Squad (The Human Legion) (Volume 2),Tim C. Taylor
Agent of Byzantium (Isaac Asimov Presents Series),Harry Turtledove
The Lost Fleet: Galactic Search: A Slaver Wars Novel (Volume 1),Raymond L. Weil
JEDI MASTER'S QUIZBOOK,Rusty Miller
The Synchronicity War Part 4 (Volume 4),Dietmar Arthur Wehr
The Slaver Wars: First Strike: The Slaver Wars Book Four,Raymond L. Weil
Zero's Return (The Legend of ZERO),Sara King
What Price Honour: Merkiaari Wars (Volume 2),Mark E Cooper
Artemis Awakening (Artemis Awakening Series),Jane Lindskold
Earth Vs. Aliens (Aliens Series),T. Jackson King
Moon Wreck: Fleet Academy (The Slaver Wars Book Three),Raymond L. Weil
The Slaver Wars: Endgame (Volume 7),Raymond L. Weil
The Synchronicity War Part 3 (Volume 3),Dietmar Arthur Wehr
Dark Space (Book 5): Avilon (Volume 5),Jasper T. Scott
AMP Messenger,Stephen Arseneault
Entropy's End (Targon Tales - Sethran) (Volume 3),Chris Reher
Terminus Shift (Targon Tales - Sethran) (Volume 2),Chris Reher
Girls Of Star Wars: May The Girls Be With You,A R James
Star Brigade: Resurgent,C.C. Ekeke
Kidnap (Guy Erma and the Son of Empire) (Volume 1),Sally Ann Melia
Fleet of the Damned (Sten #4),Allan Cole
Koban: A Federation Forged in Fire (Volume 5),Stephen W Bennett
Storm Assault (Star Force Series) (Volume 8),B. V. Larson
Escape From Aliens (Volume 1),T. Jackson King
Star Watchmen,Ben Bova
First Contact: Terran Chronicles Universe (Volume 1),James Jackson
Steel Breach,Casey Calouette
The Fringe Worlds: Book 1 of The Human Chronicles Saga (Volume 1),T.R. Harris
Carnelians (The Saga of the Skolian Empire),Catherine Asaro
OMEGA Allegiance,Stephen Arseneault
OMEGA Rescue,Stephen Arseneault
A Borrowed Man,Gene Wolfe
"The Atlantis World (The Origin Mystery, Book 3)",A.G. Riddle
Project Hyperion (The Nemesis Saga) (Volume 4),
Extinction Evolution (Extinction Cycle) (Volume 4),Nicholas Sansbury Smith
The Final Warning: A Maximum Ride Novel (Book 4),James Patterson
Shadow & Claw: The First Half of 'The Book of the New Sun',Gene Wolfe
"Max (Maximum Ride, Book 5)",James Patterson
Sword & Citadel: The Second Half of 'The Book of the New Sun',Gene Wolfe
Peace,Gene Wolfe
Wired,Douglas E. Richards
Infinity Lost (The Infinity Trilogy),S. Harrison
Brave New World and Brave New World Revisited,Aldous Huxley
"Epiphany of the Long Sun:  Calde of the Long Sun and Exodus from the Long Sun (Book of the Long Sun, Books 3 and 4)",Gene Wolfe
Cauldron of Ghosts (Crown of Slaves),David Weber
2287 A.D.: A Post-Apocalyptic Novel (After Destruction) (Volume 1),R. Brown
The Deep,Nick Cutter
"Adulthood Rites (Xenogenesis, Book Two)",Octavia E. Butler
Bengal's Quest: A Breed Novel,Lora Leigh
Legion: Skin Deep,Brandon Sanderson
Hell Island,Matthew Reilly
Imago (Xenogenesis Series),Octavia E. Butler
Futu.re,Dmitry Glukhovsky
Jurassic Park: A Novel,Michael Crichton
Altar of Eden,James Rollins
City,Clifford D. Simak
Hunger (The Hunger Series) (Volume 1),Jeremiah Knight
When the Wind Blows,James Patterson
The Fifth Head of Cerberus: Three Novellas,Gene Wolfe
Before the Dawn (Dark Angel),Max Allan Collins
The Breeding Tree,J. Andersen
Elephantmen Volume 1: Wounded Animals Revised Edition TP,Richard Starkings
Windswept: Windswept Book One,Adam Rakunas
burners (Volume 1),Bob Mayer
Where Late The Sweet Birds Sang: A Novel,Kate Wilhelm
The Lake House,James Patterson
The Ghost Brigades (A Sci Fi Essential Book),John Scalzi
Instinct (A Jack Sigler Thriller),Jeremy Robinson
Reality by Other Means: The Best Short Fiction of James Morrow,James Morrow
Glassford Girl (The Emily Heart Time Jumper Series) (Volume 1),Jay J. Falconer
The Genome: A Novel,Sergei Lukyanenko
"The Man Within (Feline Breeds, Book 2)",Lora Leigh
VAS: An Opera in Flatland: A Novel. By Steve Tomasula. Art and Design by Stephen Farrell.,Steve Tomasula
"Soul Deep (Coyote Breeds, Book 1)",Lora Leigh
Star Trek: Section 31: Disavowed,David Mack
"Kiss of Heat (Feline Breeds, Book 3)",Lora Leigh
Resident Evil: Caliban Cove,S.D. Perry
Science of the X-Men,Linc Yaco
Toys,James Patterson
Stygian's Honor (Breeds),Lora Leigh
Sharkman,Steve Alten
Pornucopia,Piers Anthony
The Island of Doctor Death and Other Stories and Other Stories,Gene Wolfe
Rule Breaker: A Novel of the Breeds,Lora Leigh
Kingsley,Carolyn O'Neal
The Amber Project (The Variant Saga) (Volume 1),J N Chaney
"Megan's Mark (The Breeds, Book 1)",Lora Leigh
MAR Rising,Craig Brusseau
Castle of Days,Gene Wolfe
The Shockwave Rider,John Brunner
Pulse (A Jack Sigler Thriller),Jeremy Robinson
Before the Apocalypse: For Such a Time,Kepler Nigh
Exit Zero,Neil A. Cohen
Quantum Night,Robert J. Sawyer
The SHIVA Syndrome,Alan Joshua
Operation Oracle: Merkiaari Wars (Volume 3),Mark E. Cooper
El Extrano Caso del Dr. Jekyll y Mr. Hyde (Spanish Edition),Robert Louis Stevenson
The Bloodless,Andrew Gibson
Dawn of the Planet of the Apes: Firestorm,Greg Keyes
Threshold (A Jack Sigler Thriller),Jeremy Robinson
The Moreau Quartet: Volume One,S. Andrew Swann
The Eyes of Heisenberg,Frank Herbert
Ready Player One,Ernest Cline
Neuromancer,William Gibson
Foundation,Isaac Asimov
Aurora,Kim Stanley Robinson
Cryptonomicon,Neal Stephenson
Ubik,Philip K. Dick
The Lightning Stones: A Novel,Jack Du Brul
"The Diamond Age: Or, a Young Lady's Illustrated Primer (Bantam Spectra Book)",Neal Stephenson
Consider Phlebas (Culture),Iain M. Banks
Ringworld (A Del Rey book),Larry Niven
The Andromeda Strain,Michael Crichton
"Fear the Sky: The Fear Saga, Book 1",Stephen Moss
Star Trek: Ships of the Line,Doug Drexler
Altered Carbon (Takeshi Kovacs Novels),Richard K. Morgan
Lucifer's Hammer,Larry Niven
BioShock: Rapture,John Shirley
Recovery Man: A Retrieval Artist Novel,Kristine Kathryn Rusch
Use of Weapons (Culture),Iain M. Banks
"The Caves of Steel (R. Daneel Olivaw, Book 1)",Isaac Asimov
"Shift Omnibus Edition: Shift 1-3, Silo Saga",Hugh Howey
2312,Kim Stanley Robinson
Foundation's Edge (Foundation Novels),Isaac Asimov
Chimera (Parasitology),Mira Grant
A Fire Upon The Deep (Zones of Thought),Vernor Vinge
Perdido Street Station,China Miéville
Children of the Mind (The Ender Quintet),Orson Scott Card
Ghosts of Onyx (Halo),Eric Nylund
"Warship: Black Fleet Trilogy, Book 1",Joshua Dalzelle
Diaspora: A Novel,Greg Egan
Deep Time: Star Carrier: Book Six,Ian Douglas
Ultima (Proxima),Stephen Baxter
Project Paranormal: A Folding Space Book,L. A. Patrick
Robots Beyond,
Halo: The Fall of Reach,Eric Nylund
Symbiont (Parasitology),Mira Grant
The Forever War,Joe Haldeman
Robopocalypse: A Novel (Vintage Contemporaries),Daniel H. Wilson
Shipstar: A Science Fiction Novel,Gregory Benford
The Reality Dysfunction (The Night's Dawn),Peter F. Hamilton
Zero World,Jason M. Hough
The Ringworld Throne,Larry Niven
Childhood's End (Del Rey Impact),Arthur C. Clarke
Wool,Hugh Howey
The Ringworld Engineers,Larry Niven
Permutation City: A Novel,Greg Egan
A Deepness in the Sky (Zones of Thought),Vernor Vinge
Woken Furies: A Takeshi Kovacs Novel,Richard K. Morgan
Halo: The Cole Protocol,Tobias S. Buckell
Inversions (Culture),Iain M. Banks
The Hydrogen Sonata (Culture),Iain M. Banks
The Neutronium Alchemist (The Night's Dawn),Peter F. Hamilton
Redemption Ark (Revelation Space),Alastair Reynolds
Broken Angels,Richard K. Morgan
The Naked God (The Night's Dawn),Peter F. Hamilton
"Steel World: Undying Mercenaries, Book 1",B. V. Larson
When The Sleeper Wakes,H. G. Wells
Influx,Daniel Suarez
The 4400: Welcome to Promise City,Greg Cox
"City of Golden Shadow (Otherland, Volume 1)",Tad Williams
The Rhesus Chart (A Laundry Files Novel),Charles Stross
The Darwin Elevator,Jason M. Hough
Three (Legends of the Duskwalker),Jay Posey
Mogworld,Yahtzee Croshaw
The Art of The Hobbit by J.R.R. Tolkien,J.R.R. Tolkien
Into the Pensieve: The Philosophy and Mythology of Harry Potter,Patrick McCauley
"The Wave in the Mind: Talks and Essays on the Writer, the Reader, and the Imagination",Ursula K. Le Guin
"The Steampunk Bible: An Illustrated Guide to the World of Imaginary Airships, Corsets and Goggles, Mad Scientists, and Strange Literature",Jeff VanderMeer
The Atlas of Middle-Earth (Revised Edition),Karen Wynn Fonstad
"The Sorcerer's Companion: A Guide to the Magical World of Harry Potter, Third Edition",Allan Zola Kronzek
Star Wars: The Essential Atlas,Daniel Wallace
The Compleat Ankh-Morpork,Terry Pratchett
Star Wars Psychology: Dark Side of the Mind,
The Steampunk User's Manual: An Illustrated Practical and Whimsical Guide to Creating Retro-futurist Dreams,Jeff VanderMeer
A Slip of the Keyboard: Collected Nonfiction,Terry Pratchett
Afrofuturism: The World of Black Sci-Fi and Fantasy Culture,Ytasha L. Womack
The Cthulhu Mythos Encyclopedia,Daniel Harms
The New Essential Guide to Alien Species (Star Wars),Ann Margaret Lewis
The Martian: A Novel by Andy Weir | Unofficial Summary & Analysis,SuperRead Books
Tolkien's World from A to Z: The Complete Guide to Middle-Earth,Robert Foster
The Science of Harry Potter: How Magic Really Works,Roger Highfield
"Stephen King's The Dark Tower: The Complete Concordance, Revised and Updated",Robin Furth
Frankenstein (Case Studies in Contemporary Criticism),Mary Shelley
Frodo's Journey: Discover the Hidden Meaning of The Lord of the Rings,Joseph Pearce
Planet Narnia: The Seven Heavens in the Imagination of C. S. Lewis,Michael Ward
The Languages of Tolkien's Middle-Earth: A Complete Guide to All Fourteen of the Languages Tolkien Invented,Ruth S. Noel
Shadowhunters and Downworlders: A Mortal Instruments Reader,
The Dictionary of Imaginary Places: The Newly Updated and Expanded Classic,Alberto Manguel
The Unique Legacy of Weird Tales: The Evolution of Modern Fantasy and Horror (Studies in Supernatural Literature),
The Longman Masters of Short Fiction,Dana Gioia
The Adventures of Pinocchio (Creative Editions),Carlo Collodi
"Beyond the Wall: Exploring George R. R. Martin's A Song of Ice and Fire, From A Game of Thrones to A Dance with Dragons",
The Ultimate Harry Potter and Philosophy: Hogwarts for Muggles,
Archaeologies of the Future: The Desire Called Utopia and Other Science Fictions,Fredric Jameson
J.R.R. Tolkien: A Biography (Greenwood Biographies),Leslie Ellen Jones
The Psychology of Harry Potter: An Unauthorized Examination Of The Boy Who Lived (Psychology of Popular Culture),
"Companion to Narnia, Revised Edition: A Complete Guide to the Magical World of C.S. Lewis's The Chronicles of Narnia",Paul F. Ford
The Complete Tolkien Companion,J. E. A. Tyler
"The Writing of Middle Earth: How to write the script of the Hobbits, Dwarves and Elves",HL Fourie
Building Imaginary Worlds: The Theory and History of Subcreation,Mark J.P. Wolf
"The Book of Lost Tales 1(The History of Middle-Earth, Vol. 1)",J.R.R. Tolkien
The Maps of Tolkien's Middle-earth,Brian Sibley
The War of the Jewels: v.2 1 (The History of Middle-Earth),Christopher Tolkien
"Robert A. Heinlein: In Dialogue with His Century, Vol. 2- The Man Who Learned Better, 1948-1988",William H. Patterson
The History of the Lord of the Rings,J.R.R. Tolkien
Rhetorics of Fantasy,Farah Mendlesohn
Storyworld First: Creating a Unique Fantasy World for Your Novel,Jill Williamson
The Essential Reader's Companion (Star Wars) (Star Wars: Essential Guides),Pablo Hidalgo
C.S. Lewis Goes to Heaven: A Reader's Guide to The Great Divorce,David G Clark
Philip K. Dick: Five Novels of the 1960s & 70s,Philip K. Dick
Sauron Defeated (History of Middle-Earth),Christopher Tolkien
The Monsters and the Critics: And Other Essays. J.R.R. Tolkien,J. R. R. Tolkien
History of the Hobbit,John D. Rateliff
"The Hobbit Party: The Vision of Freedom That Tolkien Got, and the West Forgot",Jay Richards
Jack: A Life of C. S. Lewis,George Sayer
The Oxford Handbook of Science Fiction (Oxford Handbooks),
Twilight and History (Wiley Pop Culture and History Series),Nancy Reagin
Tolkien's Sacramental Vision: Discerning the Holy in Middle Earth,Craig Bernthal
The World of Robert Jordan's The Wheel of Time,Robert Jordan
Brave New World SparkNotes Literature Guide (SparkNotes Literature Guide Series),SparkNotes
J.R.R. Tolkien Companion and Guide (Two Volume Box Set),Christina Scull
"The Panem Companion: An Unofficial Guide to Suzanne Collins' Hunger Games, From Mellark Bakery to Mockingjays",V. Arrow
The Science-Fiction & Fantasy Quiz Book (Open Book Adventures),Joseph McCullough
"Wizards, Aliens, and Starships: Physics and Math in Fantasy and Science Fiction",Charles L. Adler
"Phantasmagoria: Spirit Visions, Metaphors, and Media into the Twenty-first Century",Marina Warner
The Magical Worlds of Harry Potter (revised edition),David Colbert
The Hunger Games and Philosophy: A Critique of Pure Treason,
"The Symbolism and Sources of Outlander: The Scottish Fairies, Folklore, Ballads, Magic and Meanings That Inspired the Series",Valerie Estelle Frankel
Science Fiction and Philosophy: From Time Travel to Superintelligence,
Environments in Science Fiction: Essays on Alternative Spaces (Critical Explorations in Science Fiction and Fantasy),Susan M. Bernardo
Reading the Fantastic Imagination: The Avatars of a Literary Genre,Dana Percec
"The Outlandish Companion (Revised and Updated): Companion to Outlander, Dragonfly in Amber, Voyager, and Drums of Autumn",Diana Gabaldon
The Dharma of Star Wars,Matthew Bortolin
Reader's Guide to the Legend of Drizzt,Philip Athans
Tolkien's Intellectual Landscape,E.L. Risden
The Wisdom of the Shire: A Short Guide to a Long and Happy Life,Noble Smith
Science Fiction and the Two Cultures: Essays on Bridging the Gap Between the Sciences and the Humanities (Critical Explorations in Science Fiction and Fantasy),Gary Westfahl
Perilous and Fair: Women in the Works and Life of J. R. R. Tolkien,Janet Brennan Croft
The Law of Chaos: The Multiverse of Michael Moorcock,Jeff Gardiner
The Sookie Stackhouse Companion,
The Deathly Hallows Lectures: The Hogwarts Professor Explains the Final Harry Potter Adventure,John Granger
C. S. Lewis: Images of His World,Douglas R. Gilbert
Pulp Fascism,Jonathan Et Bowden
"Past Futures: Science Fiction, Space Travel, and Postwar Art of the Americas",
Frankenstein: the original 1818 text (Broadview Literary Texts),Mary Shelley
Broken Circle (HALO),John Shirley
"The Ender's Shadow Series Boxed Set: Ender's Shadow, Shadow of the Hegemon, Shadow Puppets, Shadow of the Giant (The Shadow Series)",Orson Scott Card
The Ghost Brigades (Old Man's War),John Scalzi
"Call to Arms: Black Fleet Trilogy, Book 2 (Volume 2)",Joshua Dalzelle
Speaker for the Dead (The Ender Quintet),Orson Scott Card
"Grey Knights: Sons of Titan (Warhammer 40,000)",David Annandale
Overfiend (Space Marine Battles),David Annandale
The Lost Stars: Shattered Spear,Jack Campbell
Warship: Black Fleet Trilogy 1 (Volume 1),Joshua Dalzelle
A Call to Duty (Manticore Ascendant),David Weber
Halo: Mortal Dictata,Karen Traviss
The Last Colony (Old Man's War),John Scalzi
Macragge's Honour (The Horus Heresy),Dan Abnett
Terms of Enlistment (Frontlines),Marko Kloos
Old Man's War Boxed Set 1,John Scalzi
Deathfire (The Horus Heresy),Nick Kyme
Halo: First Strike,Eric Nylund
Killing Titan (War Dogs),Greg Bear
Zoe's Tale (Old Man's War),John Scalzi
Horus Rising (The Horus Heresy),Dan Abnett
Halo: Silentium: Book Three of the Forerunner Saga,Greg Bear
Ender's Shadow (The Shadow Series),Orson Scott Card
"Steampunk Gear, Gadgets, and Gizmos: A Maker's Guide to Creating Modern Artifacts",Thomas Willeford
Ender in Exile (The Ender Quintet),Orson Scott Card
"Ender's Game Boxed Set I: Ender's Game, Ender's Shadow, Shadow of the Hegemon (The Ender Quintet)",Orson Scott Card
Halo: Primordium: Book Two of the Forerunner Saga,Greg Bear
Xenocide: Volume Three of the Ender Quintet,Orson Scott Card
New Blood (HALO),Matt Forbeck
The Lost Command (Lost Starship Series) (Volume 2),Vaughn Heppner
Halo: The Flood,William C. Dietz
Armageddon (Space Marine Battles),Aaron Dembski-Bowden
"The Oncoming Storm: Angel in the Whirlwind, Book 1",Christopher G. Nuttall
Angles of Attack (Frontlines),Marko Kloos
Halo: Glasslands,Karen Traviss
Ciaphas Cain: Hero of the Imperium,Sandy Mitchell
Islands of Rage and Hope (Black Tide Rising),John Ringo
The Lost Stars: Imperfect Sword,Jack Campbell
Ciaphas Cain: Defender of the Imperium,Sandy Mitchell
False Gods (The Horus Heresy),Graham McNeill
HALO: The Thursday War,Karen Traviss
Galaxy in Flames (The Horus Heresy),Ben Counter
Bug Hunts: Surviving and Combating the Alien Menace (Dark),Mark Latham
Armor,John Steakley
Strands of Sorrow (Black Tide Rising),John Ringo
Earth Unaware (The First Formic War),Orson Scott Card
"Dark Space: Dark Space, Book 1",Jasper T. Scott
Lines of Departure (Frontlines),Marko Kloos
Flight of the Eisenstein (The Horus Heresy),James Swallow
Like a Mighty Army (Safehold),David Weber
The Mote in God's Eye,Larry Niven
Metro 2034,Dmitry Glukhovsky
"The 144,000: Book Two of the Afikomen Series",Dennis Knotts
The Dog Stars (Vintage Contemporaries),Peter Heller
They Who Fell (Volume 1),Kevin Kneupper
Bird Box: A Novel,Josh Malerman
"77 Days in September: A Novel of Survival, Dedication, and Love (The Kyle Tait Series) (Volume 1)",Ray Gorham
Area X: The Southern Reach Trilogy: Annihilation; Authority; Acceptance,Jeff VanderMeer
The Pit (The Bugging Out Series) (Volume 4),Noah Mann
Daunting Days of Winter: Getting home was just the beginning,Ray Gorham
Through Many Fires: Strengthen What Remains,Kyle Pratt
Dark Peak,George R. Fehling
Ashes Of The Unspeakable: Book Two in The Borrowed World Series (Volume 2),Franklin Horton
Chaos Umpire Sits (They Who Fell) (Volume 2),Kevin Kneupper
Zombie Fallout 9: Tattered Remnants (Volume 9),Mark Tufo
